STT,Câu Hỏi,Dịch Câu Hỏi,Trả Lời,Dịch Câu Trả lời
267,What is the rule regarding the use of hands in soccer?, Quy tắc về việc sử dụng tay trong bóng đá là gì?,The use of hands in soccer is generally prohibited except for the goalkeeper within their own penalty area. Players may not use their arms or hands to control the ball; doing so results in a free kick for the opposing team.,Việc sử dụng tay trong bóng đá nói chung là bị cấm trừ thủ môn trong khu vực phạt đền của mình. Cầu thủ không được phép sử dụng cánh tay hoặc tay để kiểm soát bóng; làm vậy sẽ dẫn đến việc phạt đá phạt trực tiếp cho đội đối phương.
268,How is an offside determined in soccer?, Làm thế nào để xác định một pha việt vị trong bóng đá?,"An offside in soccer is determined when a player is nearer to the opponent's goal line than both the ball and the second-last opponent (including the goalkeeper) at the moment the ball is played to them by a teammate, with exceptions during a goal kick, throw-in, or corner kick.","Việt vị trong bóng đá được xác định khi một cầu thủ gần hơn với vạch cầu môn của đối phương so với cả bóng và cầu thủ cuối cùng của đối phương (bao gồm cả thủ môn) vào thời điểm bóng được đồng đội chuyền cho họ, ngoại trừ trong các tình huống đá biên, ném biên hoặc góc."
269,What are the rules regarding free kicks in soccer?, Quy định về việc đá phạt trong bóng đá là gì?,Free kicks in soccer are awarded after certain infringements. They can be direct (from which a goal can be scored directly against the opposing side) or indirect (a goal can be scored only if the ball subsequently touches another player before it enters the goal).,Đá phạt trong bóng đá được trao sau một số vi phạm nhất định. Chúng có thể là đá phạt trực tiếp (từ đó có thể ghi bàn trực tiếp vào lưới đối phương) hoặc gián tiếp (một bàn thắng chỉ có thể được ghi sau khi bóng chạm vào một cầu thủ khác trước khi nó vào lưới).
270,"In case of a foul, what decisions can the referee make?"," Trong trường hợp cầu thủ phạm lỗi, trọng tài có quyền ra quyết định như thế nào?","In case of a foul, the referee can award a free kick or penalty kick to the opposing team, caution the offending player with a yellow card, or send them off with a red card.","Trong trường hợp phạm lỗi, trọng tài có thể trao đá phạt hoặc phạt đền cho đội đối phương, cảnh cáo cầu thủ phạm lỗi bằng thẻ vàng, hoặc đuổi họ ra khỏi sân bằng thẻ đỏ."
271,How many players does a soccer team usually have?,Mỗi đội bóng đá thường có bao nhiêu cầu thủ?,"A soccer team usually has eleven players, including one goalkeeper.","Một đội bóng đá thường có mười một cầu thủ, bao gồm một thủ môn."
272,Which player is considered an official member of a soccer team?,Cầu thủ nào được xem là thành viên chính thức của một đội bóng?,"An official member of a soccer team includes any of the players listed in the team sheet for a match, including starters and substitutes.","Thành viên chính thức của một đội bóng đá bao gồm bất kỳ cầu thủ nào được liệt kê trong danh sách đội cho một trận đấu, bao gồm cả cầu thủ xuất phát và dự bị."
273,What are the rules regarding the number of substitute players in a match?,Quy định về số lượng cầu thủ dự bị trong một trận đấu là gì?,"The rules regarding the number of substitute players can vary by competition, but traditionally, teams are allowed to make three substitutions during a match.","Quy định về số lượng cầu thủ dự bị có thể thay đổi tùy theo cuộc thi, nhưng truyền thống, các đội được phép thực hiện ba lần thay người trong một trận đấu."
274,"In case a player is sent off, is the team allowed to replace them with another player?","Trong trường hợp một cầu thủ bị truất quyền thi đấu, đội bóng có được phép thay người thay thế không?","In case a player is sent off, the team cannot replace them with another player; they must play with fewer players.","Trong trường hợp một cầu thủ bị đuổi khỏi sân, đội bóng không được phép thay thế họ bằng một cầu thủ khác; họ phải chơi với ít người hơn."
275,Are there any rules about changing the number of players during a match?,Có quy định nào về việc thay đổi số lượng cầu thủ trong quá trình trận đấu không?,"There are no rules allowing the number of players on the field to be changed during the match, except through substitutions or when a player is sent off.","Không có quy tắc nào cho phép thay đổi số lượng cầu thủ trên sân trong suốt trận đấu, ngoại trừ thông qua việc thay người hoặc khi một cầu thủ bị đuổi khỏi sân."
276,How is offside determined in soccer?,Việt vị được xác định như thế nào trong bóng đá?,"Offside is determined by a player being in a position closer to the opponent's goal line than both the ball and the second-last opponent when the ball is played to them, except during a goal kick, throw-in, or corner kick.","Việt vị được xác định bằng cách xem một cầu thủ có ở vị trí gần với vạch cầu môn của đối phương hơn cả bóng và cầu thủ cuối cùng của đối phương khi bóng được chuyền cho họ, ngoại trừ trong các tình huống đá biên, ném biên hoặc góc."
277,Why was the offside rule established in soccer?, Tại sao quy tắc việt vị được thiết lập trong bóng đá?,"The offside rule was established to prevent players from remaining in a forward position (cherry-picking) near the opponent's goal, encouraging fair play and team effort.","Quy tắc việt vị được thiết lập để ngăn chặn cầu thủ ở lại vị trí tiền đạo gần cầu môn đối phương, khuyến khích chơi công bằng và làm việc nhóm."
278,"In case of offside, what penalties does the offending player face?"," Trong trường hợp việt vị, cầu thủ phạm lỗi sẽ phải chịu những hình phạt gì?","In case of offside, the offending team is penalized with an indirect free kick awarded to the opposing team from the spot of the infringement.","Trong trường hợp việt vị, đội phạm lỗi bị phạt một đá phạt gián tiếp cho đội đối phương từ điểm vi phạm."
279,When is a player considered to be in an offside position?, Cầu thủ được xem là ở vị trí việt vị khi nào?,A player is considered to be in an offside position if they are in the opponent's half of the field and closer to the opponent's goal line than both the second-last opponent and the ball at the time the ball is played to them by a teammate.,Một cầu thủ được coi là ở vị trí việt vị nếu họ ở trong nửa sân của đối phương và gần vạch cầu môn của đối phương hơn cả cầu thủ cuối cùng và bóng vào thời điểm bóng được chuyền cho họ bởi đồng đội.
280,How does offside apply when a player passes the ball from a corner kick situation?, Offside áp dụng như thế nào khi một cầu thủ chuyền bóng từ một tình huống phạt góc?,"Offside does not apply when a player receives the ball directly from a goal kick, corner kick, or throw-in.","Việt vị không áp dụng khi một cầu thủ nhận bóng trực tiếp từ đá biên, góc hoặc ném biên."
281,What are the common types of fouls in soccer?,Có những loại phạm lỗi phổ biến nào trong bóng đá?,"Common types of fouls in soccer include kicking, tripping, pushing, charging, striking, and handling the ball (except by the goalkeeper within their penalty area).","Các loại phạm lỗi phổ biến trong bóng đá bao gồm đá, vấp ngã, đẩy, tấn công, đánh và chơi bóng bằng tay (trừ thủ môn trong khu vực phạt đền của họ)."
282,On what criteria do referees decide fouls?,Trọng tài quyết định phạm lỗi dựa trên những tiêu chí nào?,"Referees decide fouls based on actions that are unfair or dangerous to opponents, such as using excessive force or preventing a player from playing the ball by obstructing their path without any attempt to play the ball.","Trọng tài quyết định phạm lỗi dựa trên các hành động không công bằng hoặc nguy hiểm đối với đối phương, như sử dụng lực quá mức hoặc ngăn cản một cầu thủ chơi bóng bằng cách chặn đường họ mà không có bất kỳ nỗ lực nào để chơi bóng."
283,Which fouls will lead to a red card for a player?, Phạm lỗi nào sẽ dẫn đến việc trọng tài rút thẻ đỏ cho cầu thủ?,"Fouls that may lead to a red card include serious foul play, violent conduct, spitting at an opponent or any other person, denying an obvious goal-scoring opportunity by handling the ball (except for the goalkeeper in their penalty area), and using offensive, insulting, or abusive language.","Các lỗi có thể dẫn đến việc rút thẻ đỏ bao gồm chơi xấu nghiêm trọng, hành vi bạo lực, khạc nhổ vào đối thủ hoặc bất kỳ người nào khác, từ chối một cơ hội ghi bàn rõ ràng bằng cách chơi bóng bằng tay (trừ thủ môn trong khu vực phạt đền của họ), và sử dụng ngôn ngữ xúc phạm, lăng mạ hoặc lạm dụng."
284,What actions will result in a player being penalized for a foul?, Cầu thủ sẽ bị phạm lỗi khi thực hiện hành động nào?,"A player will be penalized for a foul when they commit actions like kicking, tripping, striking, pushing, or handling the ball unlawfully.","Một cầu thủ sẽ bị phạm lỗi khi họ thực hiện các hành động như đá, vấp ngã, đánh, đẩy, hoặc chơi bóng bất hợp pháp."
285,"In case of a foul outside the penalty area, what benefits does the team get?","Trong trường hợp phạm lỗi ngoài vòng cấm, đội bóng sẽ được hưởng quyền lợi gì?","In case of a foul outside the penalty area, the team is awarded a direct free kick from the spot of the infringement.","Trong trường hợp phạm lỗi ngoài khu vực phạt đền, đội bóng được hưởng đá phạt trực tiếp từ điểm vi phạm."
286,How long does a soccer match usually last?,Một trận đấu bóng đá thường kéo dài trong bao lâu?,"A soccer match usually lasts 90 minutes, divided into two halves of 45 minutes each, with a halftime break of 15 minutes.","Một trận đấu bóng đá thường kéo dài 90 phút, chia thành hai hiệp mỗi hiệp 45 phút, với thời gian nghỉ giữa hiệp là 15 phút."
287,"In case the match ends in a draw, is extra time added?"," Trong trường hợp trận đấu kết thúc với tỷ số hòa, có thêm thời gian bù giờ không?","Extra time is added if the match ends in a draw during knockout stages of competitions, consisting of two halves of 15 minutes each. If still tied, a penalty shootout may determine the winner.","Thêm thời gian được thêm vào nếu trận đấu kết thúc với tỷ số hòa trong các giai đoạn loại trực tiếp của các cuộc thi, bao gồm hai hiệp mỗi hiệp 15 phút. Nếu vẫn hòa, một loạt sút luân lưu có thể xác định người chiến thắng."
288,What is the halftime break used for?, Thời gian nghỉ giữa hai hiệp được sử dụng để làm gì?,The halftime break is used for rest and tactical discussions by the teams.,Thời gian nghỉ giữa hiệp được sử dụng để nghỉ ngơi và thảo luận về chiến thuật của các đội.
289,"In case a match is postponed, what are the rules regarding the continuation of the match?"," Trong trường hợp một trận đấu bị hoãn, quy định về việc tiếp tục trận đấu sẽ như thế nào?","In case a match is postponed, the continuation of the match is subject to the competition's rules, which may involve rescheduling or continuing from where it was left off.","Trong trường hợp một trận đấu bị hoãn, việc tiếp tục trận đấu tuân theo quy tắc của cuộc thi, có thể bao gồm việc lên lịch lại hoặc tiếp tục từ nơi nó bị dừng lại."
290,Are there any regulations about interruption time during a soccer match?, Có quy định gì về thời gian làm gián đoạn trong một trận đấu bóng đá không?,"Regulations about interruption time include added time at the end of each half for stoppages in play, determined by the referee.","Quy định về thời gian làm gián đoạn bao gồm thêm thời gian vào cuối mỗi hiệp cho các dừng trận đấu, do trọng tài quyết định."
291,What is the FIFA World Cup and how is it organized?,FIFA World Cup là gì và được tổ chức như thế nào?,"The FIFA World Cup is an international soccer competition held every four years, involving national teams from around the world competing in a tournament to become world champions.","FIFA World Cup là một cuộc thi bóng đá quốc tế được tổ chức mỗi bốn năm một lần, với sự tham gia của các đội tuyển quốc gia từ khắp nơi trên thế giới cạnh tranh trong một giải đấu để trở thành nhà vô địch thế giới."
292,How many countries participate in the FIFA World Cup each time it is held?,Bao nhiêu quốc gia tham gia vào FIFA World Cup mỗi lần tổ chức?,"Typically, 32 countries participate in the FIFA World Cup, though this number will increase to 48 for the 2026 tournament.","Thông thường, 32 quốc gia tham gia vào FIFA World Cup, mặc dù con số này sẽ tăng lên 48 cho giải đấu năm 2026."
293,What are the stages in the process of organizing the FIFA World Cup?,Có những giai đoạn nào trong quá trình tổ chức FIFA World Cup?,"The stages in organizing the FIFA World Cup include qualification, group stage, and knockout stage, culminating in the final.","Các giai đoạn trong quá trình tổ chức FIFA World Cup bao gồm vòng loại, vòng bảng và vòng loại trực tiếp, culminating in the final."
294,Who was the last champion of the FIFA World Cup?,Ai là nhà vô địch của FIFA World Cup lần cuối cùng?,"The last champion of the FIFA World Cup (as of my last update in April 2023) was Argentina, who won the tournament in 2022.","Nhà vô địch cuối cùng của FIFA World Cup (tính đến lần cập nhật cuối cùng vào tháng 4 năm 2023) là Argentina, đã giành chiến thắng trong giải đấu năm 2022."
295,How often is the FIFA World Cup held?,FIFA World Cup có tổ chức mỗi bao lâu một lần?,The FIFA World Cup is held every four years.,FIFA World Cup được tổ chức mỗi bốn năm một lần.
296,What does a hat-trick mean in soccer?,Hat-trick trong bóng đá có ý nghĩa gì?,A hat-trick in soccer means scoring three goals in a single game by the same player.,Hat-trick trong bóng đá có nghĩa là ghi ba bàn thắng trong một trận đấu bởi cùng một cầu thủ.
297,What must a player do to score a hat-trick?,Cầu thủ phải làm gì để ghi được một hat-trick?,"To score a hat-trick, a player must score three goals in one match.","Để ghi được một hat-trick, một cầu thủ phải ghi ba bàn thắng trong một trận đấu."
298,Who is the player with the most hat-tricks in soccer history?,Ai là cầu thủ ghi nhiều hat-trick nhất trong lịch sử bóng đá?,"The player with the most hat-tricks in soccer history varies by statistic and source, but Cristiano Ronaldo and Lionel Messi are among the top.","Cầu thủ có nhiều hat-trick nhất trong lịch sử bóng đá thay đổi tùy theo thống kê và nguồn, nhưng Cristiano Ronaldo và Lionel Messi là một trong những người hàng đầu."
299,In what situations during a match does a hat-trick usually occur?,Hat-trick thường xảy ra trong những tình huống nào trong trận đấu?,Hat-tricks usually occur in matches where one team is significantly stronger or during high-scoring games.,Hat-trick thường xảy ra trong các trận đấu mà một đội mạnh hơn đáng kể hoặc trong các trận đấu có số bàn thắng cao.
300,Is a hat-trick considered an important part in determining an outstanding player?,Hat-trick có phải là một phần quan trọng trong việc xác định cầu thủ xuất sắc không?,"While a hat-trick is a significant achievement, it's one of many factors considered in determining an outstanding player.","Mặc dù một hat-trick là một thành tựu đáng kể, đó là một trong nhiều yếu tố được xem xét khi xác định một cầu thủ xuất sắc."
301,In what situations is a penalty shootout used in soccer?,Loạt đá luân lưu được sử dụng trong những tình huống nào trong bóng đá?,A penalty shootout is used in soccer to decide a winner in knockout matches that end in a draw after regular and extra time.,Loạt đá luân lưu được sử dụng trong bóng đá để quyết định người chiến thắng trong các trận đấu loại trực tiếp kết thúc với tỷ số hòa sau thời gian chính thức và thêm giờ.
302,What is the process of a penalty shootout?,Quy trình của một loạt đá luân lưu như thế nào?,"The process of a penalty shootout involves each team taking turns to kick from the penalty mark, with the team scoring the most out of five attempts typically declared the winner.","Quy trình của một loạt đá luân lưu bao gồm việc mỗi đội lần lượt thực hiện cú sút từ điểm phạt đền, với đội ghi được nhiều bàn thắng nhất sau năm lần sút thường được tuyên bố là người chiến thắng."
303,"In case both teams are still tied after completing the penalty shootout, what decides the match's outcome?","Trong trường hợp cả hai đội vẫn hòa sau khi hoàn thành loạt đá luân lưu, quyết định của trận đấu sẽ dựa vào yếu tố gì?","If both teams are still tied after completing the penalty shootout, the match is decided by sudden death, where each team takes one shot in turn until one scores and the other does not.","Nếu cả hai đội vẫn hòa sau khi hoàn thành loạt đá luân lưu, trận đấu được quyết định bằng luật sút luân lưu tử thần, nơi mỗi đội thực hiện một cú sút xen kẽ cho đến khi một đội ghi bàn và đội kia không."
304,Are there specific regulations regarding conducting a penalty shootout?,Có những quy định cụ thể nào về việc thực hiện loạt đá luân lưu?,"Specific regulations for conducting a penalty shootout include the order of shooters, the goalkeeper's position, and that all eligible players must take a shot before any player can take a second shot.","Các quy định cụ thể về việc thực hiện loạt đá luân lưu bao gồm thứ tự của các cầu thủ sút, vị trí của thủ môn, và rằng tất cả các cầu thủ đủ điều kiện phải thực hiện một cú sút trước khi bất kỳ cầu thủ nào có thể thực hiện cú sút thứ hai."
305,Is a penalty shootout applied in all types of soccer competitions?,Loạt đá luân lưu có được áp dụng trong mọi loại giải đấu bóng đá không?,"A penalty shootout is not applied in all types of soccer competitions, typically reserved for knockout stages of tournaments.","Loạt đá luân lưu không được áp dụng trong tất cả các loại cuộc thi bóng đá, thường dành cho các giai đoạn loại trực tiếp của các giải đấu."
306,Who is considered one of the greatest soccer players of all time?,Ai được coi là một trong những cầu thủ vĩ đại nhất mọi thời đại trong lịch sử bóng đá?,"Players considered among the greatest of all time include Pelé, Diego Maradona, Lionel Messi, and Cristiano Ronaldo, based on their skill, impact, and achievements.","Các cầu thủ được coi là một trong những cầu thủ vĩ đại nhất mọi thời đại bao gồm Pelé, Diego Maradona, Lionel Messi, và Cristiano Ronaldo, dựa trên kỹ năng, ảnh hưởng, và thành tựu của họ."
307,What criteria are used to determine a great player?,Những tiêu chí nào được sử dụng để xác định cầu thủ vĩ đại?,"Criteria for determining a great player include skill level, achievements, impact on the game, leadership, and contributions to team success.","Các tiêu chí được sử dụng để xác định một cầu thủ vĩ đại bao gồm mức độ kỹ năng, thành tựu, ảnh hưởng đến trò chơi, khả năng lãnh đạo, và đóng góp vào thành công của đội."
308,Which player has won the most titles and awards in soccer history?,Cầu thủ nào đạt được nhiều danh hiệu và giải thưởng nhất trong lịch sử bóng đá?,"The player with the most titles and awards in soccer history is difficult to determine due to the variety of competitions, but Lionel Messi and Cristiano Ronaldo are among the most decorated.","Cầu thủ giành được nhiều danh hiệu và giải thưởng nhất trong lịch sử bóng đá khó xác định do sự đa dạng của các cuộc thi, nhưng Lionel Messi và Cristiano Ronaldo là một trong những người được trang trí nhiều nhất."
309,How do fans and sports experts evaluate a great player?,Người hâm mộ và chuyên gia thể thao đánh giá cầu thủ vĩ đại dựa trên những gì?,"Fans and sports experts evaluate a great player based on their performance, consistency, contribution to the team's success, and moments of brilliance in crucial games.","Người hâm mộ và chuyên gia thể thao đánh giá một cầu thủ vĩ đại dựa trên màn trình diễn, sự nhất quán, đóng góp vào thành công của đội, và những khoảnh khắc xuất sắc trong các trận đấu quan trọng."
310,Which player has had the greatest impact on the development of soccer?,Cầu thủ nào có ảnh hưởng lớn nhất đến sự phát triển của bóng đá?,"Players with a significant impact on the development of soccer include Pelé, for popularizing the sport globally, and Johan Cruyff, for influencing total football and modern coaching tactics.","Các cầu thủ có ảnh hưởng lớn nhất đến sự phát triển của bóng đá bao gồm Pelé, vì đã phổ biến môn thể thao này trên toàn cầu, và Johan Cruyff, vì ảnh hưởng đến bóng đá tổng lực và các chiến thuật huấn luyện hiện đại."
311,What are the most famous stadiums in soccer history?,Có những sân vận động nào được coi là nổi tiếng nhất trong lịch sử bóng đá?,"The most famous stadiums in soccer history include the Maracanã in Brazil, Wembley Stadium in England, and the Camp Nou in Spain.","Các sân vận động nổi tiếng nhất trong lịch sử bóng đá bao gồm Maracanã ở Brazil, Sân vận động Wembley ở Anh, và Camp Nou ở Tây Ban Nha."
312,Which stadiums have hosted the most important matches in history?,Những sân vận động nào đã tổ chức những trận đấu quan trọng nhất trong lịch sử?,"Stadiums that have hosted important matches include the Estadio Azteca in Mexico, the Maracanã, and the Stadio Olimpico in Italy.","Các sân vận động đã tổ chức các trận đấu quan trọng bao gồm Estadio Azteca ở Mexico, Maracanã, và Stadio Olimpico ở Ý."
313,Which stadiums are commonly used for international matches and major tournaments like the FIFA World Cup?,Các sân vận động nào thường được sử dụng cho các trận đấu quốc tế và giải đấu lớn như FIFA World Cup?,"Stadiums commonly used for international matches and major tournaments include the Luzhniki Stadium in Russia, the Allianz Arena in Germany, and the Stade de France in France.","Các sân vận động thường được sử dụng cho các trận đấu quốc tế và các giải đấu lớn như FIFA World Cup bao gồm Sân vận động Luzhniki ở Nga, Allianz Arena ở Đức, và Stade de France ở Pháp."
314,Which stadium has the largest capacity in the world?,Sân vận động nào có sức chứa lớn nhất thế giới?,The stadium with the largest capacity in the world is the Rungrado 1st of May Stadium in North Korea.,Sân vận động có sức chứa lớn nhất thế giới là Sân vận động Rungrado 1st of May ở Bắc Triều Tiên.
315,Which stadiums have the best architecture and facilities?,Những sân vận động nào có kiến trúc và cơ sở vật chất tốt nhất?,"Stadiums with the best architecture and facilities include the Allianz Arena in Germany, the AT&T Stadium in the United States, and the National Stadium in Beijing, China.","Các sân vận động có kiến trúc và cơ sở vật chất tốt nhất bao gồm Allianz Arena ở Đức, Sân vận động AT&T ở Hoa Kỳ, và Sân vận động Quốc gia ở Bắc Kinh, Trung Quốc."
316,What is volleyball?,Bóng chuyền là gì?,Volleyball is a team sport where two teams of six players are separated by a net. Each team tries to score points by grounding the ball on the other team's court under organized rules.,"Bóng chuyền là một môn thể thao đồng đội, nơi hai đội mỗi đội sáu người được phân cách bởi một lưới. Mỗi đội cố gắng ghi điểm bằng cách đưa bóng chạm đất phía sân đối phương theo các quy tắc được tổ chức."
317,How many players are on a volleyball team?,Một đội bóng chuyền có bao nhiêu cầu thủ?,A volleyball team consists of six players on the court at any given time during a match.,Một đội bóng chuyền bao gồm sáu cầu thủ trên sân vào bất kỳ thời điểm nào trong trận đấu.
318,What are the main positions in volleyball?,Những vị trí chính trong bóng chuyền là gì?,"The main positions in volleyball are setter, outside hitter, middle blocker, opposite hitter, and libero.","Các vị trí chính trong bóng chuyền là chuyền hai, đập chính, chắn giữa, đập phụ, và libero."
319,Can a player hit the volleyball more than once in a row?,Một cầu thủ có thể chạm bóng nhiều hơn một lần liên tiếp không?,"No, a player cannot hit the ball two consecutive times. However, a block is not considered a hit.","Không, một cầu thủ không thể chạm bóng hai lần liên tiếp. Tuy nhiên, một pha chắn không được coi là một lần chạm bóng."
320,What is a 'set' in volleyball?,Một 'set' trong bóng chuyền là gì?,A set in volleyball is a way to pass the ball to a teammate with the intention of setting up an attack.,Một 'set' trong bóng chuyền là cách chuyền bóng cho đồng đội với ý định thiết lập một cuộc tấn công.
321,What does a libero do?,Libero làm gì?,"A libero is a defensive specialist who can substitute for any back-row player without prior notice to the officials. They wear a different color jersey and cannot serve, spike, or rotate to the front row.","Libero là một chuyên gia phòng thủ có thể thay thế cho bất kỳ cầu thủ hàng sau nào mà không cần thông báo trước cho các quan chức. Họ mặc áo đấu màu khác và không được phép giao bóng, đập mạnh, hoặc xoay vòng vào hàng trước."
322,How is a point scored in volleyball?,Điểm trong bóng chuyền được tính như thế nào?,"A point is scored when the ball lands on the opponent's court, the opponent fails to return the ball properly, or the opponent commits a fault.","Một điểm được tính khi bóng chạm đất phía sân đối phương, đối phương không trả bóng đúng cách, hoặc đối phương phạm lỗi."
323,What is a 'spike' in volleyball?,Một 'spike' trong bóng chuyền là gì?,"A spike is a forceful shot, where the player jumps and hits the ball down into the opponent's court, aiming to end the play.","Một 'spike' là một cú đập mạnh, nơi cầu thủ nhảy lên và đập bóng xuống sân đối phương, nhằm kết thúc pha chơi."
324,How high is the net in volleyball?,Lưới bóng chuyền cao bao nhiêu?,"The net height in men's volleyball is 2.43 meters (about 7 feet 11 ⅝ inches) and in women's volleyball, it's 2.24 meters (about 7 feet 4 ¼ inches).",Chiều cao lưới trong bóng chuyền nam là 2.43 mét (khoảng 7 feet 11 ⅝ inch) và trong bóng chuyền nữ là 2.24 mét (khoảng 7 feet 4 ¼ inch).
325,What is an 'ace' in volleyball?,Một 'ace' trong bóng chuyền là gì?,"An ace is a serve that directly results in a point, either because the ball hits the floor on the opponent's side without being touched or is not successfully returned.","Một 'ace' là một đợt giao bóng trực tiếp dẫn đến điểm, hoặc vì bóng chạm sàn phía sân đối phương mà không được chạm vào hoặc không được trả lại thành công."
326,How is volleyball different from beach volleyball?,Bóng chuyền khác bóng chuyền bãi biển như thế nào?,"Volleyball is typically played indoors on a hard court, while beach volleyball is played outdoors on sand.","Bóng chuyền thường được chơi trong nhà trên sân cứng, trong khi bóng chuyền bãi biển được chơi ngoài trời trên cát."
327,What equipment is essential for playing volleyball?,Những trang thiết bị nào là cần thiết để chơi bóng chuyền?,"Essential equipment for volleyball includes a ball, a net, and appropriate footwear.","Trang thiết bị cần thiết cho bóng chuyền bao gồm một quả bóng, một cái lưới và giày dép phù hợp."
328,Can volleyball be played outdoors?,Có thể chơi bóng chuyền ngoài trời không?,"Yes, volleyball can be played outdoors on grass or sand courts.","Có, bóng chuyền có thể được chơi ngoài trời trên các sân cỏ hoặc cát."
329,What are the basic skills needed in volleyball?,Những kỹ năng cơ bản cần có trong bóng chuyền là gì?,"Basic skills in volleyball include serving, passing, setting, attacking, blocking, and digging.","Kỹ năng cơ bản trong bóng chuyền bao gồm giao bóng, tiếp bóng, set, tấn công, chặn và đào bóng."
330,How does the scoring system work in volleyball?,Hệ thống tính điểm trong bóng chuyền hoạt động như thế nào?,"The scoring system in volleyball is rally scoring, where a point is scored on every serve, regardless of which team served.","Hệ thống điểm trong bóng chuyền là điểm số liên tiếp, mỗi lần giao bóng đều được tính là một điểm, bất kể đội nào giao bóng."
331,Can substitutions be made during a volleyball match?,Có thể thay người trong một trận đấu bóng chuyền không?,"Yes, substitutions can be made during a volleyball match.","Có, thay người có thể được thực hiện trong trận đấu bóng chuyền."
332,How many players start on the bench in a professional volleyball game?,Có bao nhiêu cầu thủ bắt đầu trên băng ghế dự bị trong một trận đấu bóng chuyền chuyên nghiệp?,"In professional volleyball, typically 12 players start on the bench.","Trong bóng chuyền chuyên nghiệp, thường có 12 cầu thủ bắt đầu trên băng ghế dự bị."
333,Is there a limit to the number of substitutions in volleyball?,Có giới hạn số lần thay người trong bóng chuyền không?,"There's no limit to the number of substitutions in volleyball, but they must occur during dead ball situations.","Không có giới hạn về số lần thay người trong bóng chuyền, nhưng chúng phải diễn ra trong tình huống bóng chết."
334,How do player rotations work in volleyball?,Cách thức luân chuyển cầu thủ trong bóng chuyền hoạt động như thế nào?,Player rotations in volleyball involve moving players clockwise in the serving order.,Phân vị của cầu thủ trong bóng chuyền liên quan đến việc di chuyển các cầu thủ theo chiều kim đồng hồ trong thứ tự giao bóng.
335,What happens if a volleyball team has fewer than six players?,Điều gì xảy ra nếu một đội bóng chuyền có ít hơn sáu cầu thủ?,"If a volleyball team has fewer than six players, they may be forced to forfeit the match.","Nếu một đội bóng chuyền có ít hơn sáu cầu thủ, họ có thể bị buộc phải từ bỏ trận đấu."
336,Which position is responsible for setting up attacks?,Vị trí nào chịu trách nhiệm thiết lập các đợt tấn công?,The position responsible for setting up attacks is the setter.,Vị trí chịu trách nhiệm cho việc chuẩn bị tấn công là vị trí set.
337,What special skills does a libero have?,Libero có những kỹ năng đặc biệt nào?,Liberos specialize in defensive skills and are usually tasked with receiving serves and making digs.,Libero chuyên về kỹ năng phòng ngự và thường được giao nhiệm vụ tiếp nhận giao bóng và thực hiện đào bóng.
338,How does the role of an outside hitter differ from a middle blocker?,Vai trò của cầu thủ đập chính ngoài khác với cầu thủ chắn giữa như thế nào?,"An outside hitter focuses on attacking from the sides, while a middle blocker primarily defends against quick attacks at the net.","Một người tấn công bên ngoài tập trung vào việc tấn công từ hai bên, trong khi một người chặn ở giữa chủ yếu phòng ngự chống lại các tấn công nhanh tại lưới."
339,Can a player play multiple positions in a match?,Một cầu thủ có thể đảm nhận nhiều vị trí trong một trận đấu không?,"Yes, a player can play multiple positions in a volleyball match.","Có, một cầu thủ có thể chơi nhiều vị trí trong một trận đấu bóng chuyền."
340,What determines a player's position on the volleyball team?,Điều gì xác định vị trí của một cầu thủ trong đội bóng chuyền?,"A player's position on the volleyball team is determined by their skills, physical attributes, and the team's strategy.","Vị trí của một cầu thủ trên đội bóng chuyền được xác định bởi kỹ năng, đặc điểm vật lý và chiến lược của đội."
341,What are the consequences of hitting the ball twice in succession?,Hậu quả của việc chạm bóng hai lần liên tiếp là gì?,Hitting the ball twice in succession results in a fault and a point for the opposing team.,Đánh bóng hai lần liên tiếp dẫn đến một lỗi và một điểm cho đội đối thủ.
342,Are there any exceptions to this rule in volleyball?,Có ngoại lệ nào cho quy tắc này trong bóng chuyền không?,Exceptions to this rule include a player blocking an opponent's attack and their subsequent attempt to save the ball.,"Có các ngoại lệ cho quy tắc này trong bóng chuyền, bao gồm một cầu thủ chặn tấn công của đối thủ và sau đó cố gắng cứu bóng."
343,How does this rule affect the strategy of volleyball?,Quy tắc này ảnh hưởng như thế nào đến chiến lược của bóng chuyền?,"This rule affects strategy by emphasizing clean, precise ball handling and discouraging double touches.","Quy tắc này ảnh hưởng đến chiến lược bằng cách nhấn mạnh việc xử lý bóng sạch sẽ, chính xác và ngăn chặn việc đánh bóng hai lần."
344,Can another player touch the ball between the two hits?,Có thể có cầu thủ khác chạm bóng giữa hai lần chạm không?,"Yes, another player can touch the ball between the two hits, as long as it's not a deliberate attempt to set the ball.","Có, một cầu thủ khác có thể chạm vào bóng giữa hai lần đánh, miễn là không phải là một cố ý để set bóng."
345,How is this rule enforced during a volleyball game?,Quy tắc này được thực thi trong một trận đấu bóng chuyền như thế nào?,This rule is enforced by referees who observe the ball's trajectory and players' actions closely.,Quy tắc này được thi hành bởi trọng tài quan sát quỹ đạo của quả bóng và hành động của cầu thủ một cách cẩn thận.
